43,The Kalayaan Tree,Copperpod (Peltophorum pterocarpum),,Malolos Cathedral Bulacan,,"The Kalayaan Tree (Tree of Freedom), located near the front of the Minor Basilica of Our Lady of Immaculate Conception in the historic city of Malolos, Bulacan, Philippines. The siar tree was planted by Gen. Emilio Aguinaldo during a lull in the Malolos Convention. Under the tree is a monument symbolizing the meeting of Filipino revolutionaries represented by statues of Gregorio del Pilar and Gen. Isidoro Torres; Don Pablo Tecson, a legislator; Padre Mariano Sevilla, a nationalist leader of the church and Doña Basilia Tantoco, a woman freedom fighter.[10][11]"
44,Kannimara Teak,Teak (Tectona grandis),,Parambikulam Wildlife Sanctuary Kerala,,One of the oldest and largest living teak trees. It had a girth of 6.52 metres (21.4 ft) and a height of 48.25 metres (158.3 ft) when the measurement was taken in 2003.
45,,,,Korean DMZ,,"A tree within the Korean DMZ was the focus of the Axe Murder Incident, in which two United States Army officers were killed by North Korean soldiers. The killings led to Operation Paul Bunyan, named for the legendary lumberjack. The tree was eventually cut down under the watch of over 800 soldiers."
46,,Ginkgo (Ginkgo biloba),1000,Tsurugaoka Hachiman-gū Kamakura Japan,,The ancient tree was uprooted in a storm in 2010.
47,Old Tjikko,Norway spruce (Picea abies),"9,563[12]",Dalarna Sweden 61°35′N 12°40′E﻿,,The oldest known individual clonal tree in the world.
48,Oliveira do Mouchão,Olive tree (Olea europaea),"3,350[13][14]",Mouriscas Portugal 39°28′24″N 8°04′51″W﻿,,The oldest known olive tree in the world (with an estimate age precision of 2%).
49,Stara Maslina,Olive tree (Olea europaea),2240,Bar Montenegro 42°04′48″N 19°07′46″E﻿,,
50,Ballyconnell Yew,Yew,">2,000",Grounds of Ballyconnell House Annagh townland Ireland,,"Ancient tree reckoned to be well over 2,000 years old with a massive girth."
51,Craigends Yew,Yew (Taxus baccata),>700,Grounds of the old Craigends estate Houston Scotland 55°51′45″N 4°31′35″W﻿,,Largest layering yew tree in Scotland with a 100-metre circumference of the crown
52,,Scots pine (Pinus sylvestris),770,Urho Kekkonen National Park Lapland (Finland),,Considered one of the oldest trees in Finland. Probably the oldest Scots pine in the world.
53,Fortingall Yew,European yew (Taxus baccata),"2,000–5,000",Churchyard of the village of Fortingall in Perthshire Scotland 56°35′53″N 4°03′04″W﻿,,"Various estimates have put its age at between 2,000 and 5,000 years."
54,Florence Court Yew,Irish yew (Taxus baccata 'Fastigiata'),254,Florence Court estate near Enniskillen Fermanagh,,"The survivor of the original pair of Irish yew saplings discovered on Cuilcagh mountain in 1767, this specimen was transplanted to the gardens at Florence Court in the same year. Almost all Irish yews worldwide are believed to derive from this tree following its commercial propagation after 1820."
55,Bermiego Yew,European yew (Taxus baccata),c. 2000,Bermiego Asturias,,Considered one of the oldest yews in Europe.
56,Caesarsboom (Caesar's Tree),European yew (Taxus baccata),,Lo Belgium 50°58′49″N 2°44′44″E﻿,,Noted for the legend that Julius Caesar tethered his horse to it during his conquest of the region.
57,Estry Yew,Yew,"> 1,600",Estry Normandy,,Considered one of the oldest trees in France. Its hollow trunk can contain 30 people.
58,La-Haye-de-Routot Yews,Yews,"~ 1,500",La Haye-de-Routot Normandy,,A chapel with a door was designed in one of them.
59,Forest swastika,Larch,,Zernikow Germany.,,A patch of carefully arranged larch trees covering a 60-yard (55 m) square area of pine forest.
60,The Old Elm,Field elm (Ulmus minor),1100,Center of Sliven Bulgaria,,"It won the 2014 European Tree of the Year Award. The tree has sat in the center of Sliven for 1100 years, serving as a gathering point and a historical marker. It is also part of the city coat of arms.[15]"
61,Granit Oak,English oak (Quercus robur),1650,Granit village near Stara Zagora Bulgaria 42°15′15″N 25°08′10″E﻿,,"One of the oldest trees in Europe, estimated to be about 1,650 years old. Its crown spread covers an area of 1,017 square metres, its girth is 7.45 m, and its height is 23.4 m."
62,Bartek,Oak,650–670,Zagnańsk Świętokrzyskie Province,,"A famous tree in Poland, visited by kings, said to be about 1,200 years old (actually 650–670 years according to recent studies[citation needed]). It is 30 m tall, 13.5 m in girth near the ground, with a crown spread of 40 m."
63,Gernikako Arbola,Oak,,Guernica Basque Country,,An oak representing the Basque people
64,The Great Sequoia,Sequoia (Sequoiadendron giganteum),160,Vitoria-Gasteiz Basque Country,,Symbol of the city
65,Queen Elizabeth Oak,English oak (Quercus robur),800–1000,Royal Palace of Hatfield Hertfordshire,,Said to be the location where Elizabeth I of England was told she was queen in 1558.
66,Darley Oak,Pedunculate oak (Quercus robur),1000+,Darleyford Cornwall,,Folk tradition attributes healing properties to the tree
67,Kongeegen (the King Oak),Pedunculate oak (Quercus robur),1200,Jægerspris Nordskov Sjælland,,The oldest tree in Denmark.
68,Chêne chapelle,Pedunculate oak (Quercus robur),1200,Allouville-Bellefosse Normandy,,"An 800- to 1,200-year-old pedunculate oak, under which William the Conqueror is to have stopped, according to a local legend. There are two chapels inside."
69,Poltava Oak,Oak,600,Poltava Ukraine,,An oak under which Tsar Peter I rested at the Battle of Poltava in 1709.[citation needed]
70,Stoke Gabriel Yew,Yew,c. 1000,Stoke Gabriel churchyard Devon England 50°24′10″N 3°37′16″W﻿,,Said to be the oldest tree in England.
71,Major Oak,Pedunculate oak (Quercus robur),800,Sherwood Forest Nottinghamshire,,"The most famous and most visited tree of Great Britain. About 800 years old,[16] with a girth at breast height of 10.5 m."
72,Gilwell Oak,Pedunculate oak (Quercus robur),circa 500,Gilwell Park Epping Forest United Kingdom 51°39′1″N 0°0′8″E﻿,,Oak tree associated with the early history of the Scout Association
73,Ivenack Oak,Pedunculate oak (Quercus robur),800,Ivenack Mecklenburg-Western Pomerania,,"A huge and ancient pedunculate oak thought to be about 800 years old, 35 m tall, 11 m in girth at breast height and 16.5 m near the ground. The largest oak in Germany and (in wood volume) probably in Europe."
74,Baikushev's pine,Bosnian pine (Pinus heldreichii),1300,Pirin mountains near Bansko Bulgaria,,"An ancient tree estimated to be 1,300 years old. It is one of the oldest trees of Bulgaria and stands 24 m tall with a girth of 6.9 m at breast height."
75,Stelmužė Oak,Pedunculate oak (Quercus robur),1500,Stelmužė Zarasai district,,Measures a girth at breast height of 9.58 m and 13 m near the ground. The oldest tree in Lithuania and the Baltic States.
76,Chestnut Tree of One Hundred Horses,Sweet chestnut (Castanea sativa),2000-4000,Sant'Alfio the eastern slope of Mount Etna,,Probably the world's oldest and largest chestnut.
77,Bialbero de Casorzo (Grana Double Tree),Outer: Mulberry Inner: Cherry tree,,Grana Piemont,,"a tree which grows in a hollow tree near Grana, Piemont, Italy [1]"
78,Le Gros chêne de Liernu (the big oak of Liernu),Oak,900,15 km (9.3 mi) north from Namur Belgium 50°35′03″N 4°49′40″E﻿,,"Known as the oldest oak in Belgium. It is estimated at certainly 800 or 900 years old, maybe more than 1,000 years."
79,The Oaks of Rogalin,Oak,1000,Rogalin Greater Poland,,Thousand-year-old trees named after the three mythic founders of the Slavic nations.
80,The Olive tree of Vouves,Olive tree (Olea europaea),2000,Village of Ano Vouves Kolymvari Crete Greece 35°29′12″N 23°47′13″E﻿,,"It is confirmed to be at least 2000 years old based on tree ring analysis, but it is claimed to be between 3000 and 4000 years old."
81,Mulberry of the Patriarchate of Peć,Mulberry,800,Peć Kosovo.,,"One of the oldest verified living trees in Kosovo, located in the courtyard of the church complex of the Patriarchate of Peć. It was brought from the Shām region by Archbishop Saint Sava II during his pilgrimage to the Holy Land and planted between 1263 and 1272."
82,Old Oak,Oak,600,Exactly 100 km from Belgrade Serbia,,
83,Divljana Oak,Oak,over 1000,Divljana Serbia,,
84,Koča's oak,,,Near Jagodina Serbia,,Named after Koča Anđelković.
85,Veliki Popovac oak,,,Village of Veliki Popovac Serbia,,
86,Plane tree at Miloš's Residence,Plane tree,,Belgrade Serbia,,The oldest plane tree in Belgrade.
87,Flower Square oak,English oak (Quercus robur),~200,Belgrade Serbia,,"Around two centuries old, the last remaining of the forest that covered the area."
88,Brian Boru's Oak,Oak,1000,Raheen Woods County Clare,,"A reputedly 1000-year-old oak tree planted by Brian Boru, Last King of Ireland."
89,Pi de les Tres Branques,Scots pine (Pinus sylvestris),,Catalonia Spain,,Regarded as symbolising the unity of the Catalan countries
90,Midland Oak,Oak,,Leamington Spa Warwickshire,,Reputed to mark the centre of England. grown from an acorn from the original tree.
91,Najevnik Linden Tree,Small-leaved lime (Tilia cordata),~700,Najevnik Farm in Ludranski Vrh Municipality of Črna na Koroškem,,The tree with the largest girth in Slovenia (10.70 meters; its height is 24 m). Estimated to be 700 years old. The traditional meeting place of Slovene politicians and a cultural venue.
92,Tamme-Lauri oak,Oak,690,Urvaste Parish Võru County 26° 34′ 36″ E,,Thickest and oldest tree in Estonia.
93,Viiralti Oak,Oak,400,Vana-Võidu village in Viljandi County Estonia 58°23′26″N 25°39′15″E,,Known from the graphic work of Eduard Wiiralt from 1943
94,Orissaare Stadium oak,Pedunculate oak (Quercus robur),,Orissaare Saare County,,Grows in the middle of Orissaare stadium. European Tree of the Year 2015
95,King's Pine,Scots pine (Pinus sylvestris),380,Järvselja village Peipsiääre Parish Estonia,,"This pine has height of 33 m and volume of 11,5 m3 (1999)"
96,Kelchi linden,Linden,360,Tallinn Estonia,,Named after pastor Christian Kelch who was buried under the linden in 1710
97,Waldtraut vom Mühlenwald,Douglas fir,107 (in 2017)[17],Arboretum Freiburg-Günterstal near Freiburg im Breisgau Germany,,Tallest tree in Germany with a height of 66.58 meters in 2017[17][18][19]
98,Sobreiro Monumental,Cork oak (Quercus suber),236[20],Águas de Moura Portugal 39°28′24″N 8°04′51″W﻿,,Verified by the Guinness Book of Records as the largest cork oak in the world.[20]
99,Eucalipto do Vale de Canas,Karri (Eucalyptus diversicolor),145[21],Coimbra Portugal,,Tallest tree in Europe at 72.9 metres (239 ft).[21]
100,Anne Frank Tree,Horse-chestnut (Aesculus hippocastanum),,City center of Amsterdam Netherlands52°22′30.7″N 4°53′4.7″E﻿,,Featured in Anne Frank's The Diary of a Young Girl. The tree was destroyed in a gale in the late summer of 2010.
101,Merlin's Oak,,,Carmarthen Wales,,
102,Glastonbury Thorn,Common hawthorn (Crataegus monogyna),,,,Reputed to have been planted by Joseph of Arimathea.
103,Thor's Oak,Oak,,,,"A tree sacred to the Germanic tribe of the Chatti, ancestors of the Hessians."
104,Sacred tree at Uppsala,,,Temple at Uppsala Sweden,,"It was a sacred tree venerated by Norse pagans, still extant in the second half of the 11th century."
105,Royal Oak,Pedunculate oak (Quercus robur),,Boscobel England,,King Charles II hid in the tree to escape the Roundheads following the Battle of Worcester in 1651. The tree has been replaced by a descendant.
106,Shakespeare's mulberry tree,Mulberry,,New Place Stratford-upon-Avon,,Cut down in the mid-18th century and fashioned into mementos.
107,Tree of Hippocrates,Oriental plane (Platanus orientalis),,Kos Greece,,The tree under which Hippocrates is supposed to have taught.
108,Red Forest,Pines,,Chernobyl Nuclear Power Plant Ukraine,,"Formerly the Worm Wood Forest, refers to the trees growing in the 10 km2 surrounding the Chernobyl Nuclear Power Plant and is one of several of the Chernobyl disaster effects on April 26, 1986. The name 'Red Forest' comes from the ginger brown colour of the pine trees after they died following the absorption of high levels of radiation."
109,TV-eken,Oak,,Stockholm Sweden,,The TV-oak or TV-eken was a tree in front of the offices of Sveriges Television. It was felled in 2011 despite a massive campaign to preserve it.[22]
110,Danger Tree,,,Beaumont-Hamel France,,"Marks the area of highest casualties suffered by the Royal Newfoundland Regiment during their attack at Beaumont Hamel during the Battle of the Somme. The current 'tree' is a concrete replica, however growth around the replica may be from the same root system as the original tree."
111,Takovo bush,Oak,,Takovo Serbia,,Tree under which Miloš Obrenović started the Second Serbian Uprising.
112,Pine of Tsar Dušan,Bosnian pine (Pinus heldreichii),663,Uroševac Serbia,,"Planted in 1336 by Tsar Dušan, destroyed by Albanian extremists in 1999.[citation needed]"
113,Poplar of Horror,Poplar,,Donja Gradina Bosnia and Herzegovina,,Used for mass executions of inmates of the Jasenovac concentration camp.
114,Buttington Oak,Oak,,Buttington Powys,,Said to have been planted to commemorate the Battle of Buttington in 893. Fell in February 2018.
115,Oak at the Gate of the Dead,Pedunculate oak (Quercus robur),"Circa 1,000",Near Wrexham Wales,,Sited on the burial ground of the 1165 Battle of Crogen
116,Brimmon Oak,Pedunculate oak (Quercus robur),Circa 500,Newtown Powys,,A campaign to save it forced the diversion of the A483 Newtown Bypass
117,Bicycle Tree,Sycamore (Acer pseudoplatanus),Circa 110–150,Brig o' Turk Scotland,,A landmark tree with a bicycle embedded within it
118,Robin Hood's Larder,Oak,,Sherwood Forest,,Reputed to have been used by Robin Hood to store food
119,Caton Oak,Oak,,Caton England,,Reputed sacred tree for druids
120,The Happy Man Tree,Platanus,150[23],Hackney London,,England's Tree of the Year 2020 and subject of a dispute with property developer Berkeley Group Holdings. Cut down in January 2021.[24]
121,Allen Russell,Giant sequoia (Sequoiadendron giganteum),,Balch Park Tulare County US,,"The 33rd largest tree worldwide, named in dedication to park ranger Allen I. Russell."
122,Angel Oak,Southern live oak (Quercus virginiana),400–500,Johns Island South Carolina South Carolina US32°43′4″N 80°4′46″W﻿,,"It stands 66.5 ft (20 m) tall, measures 28 ft (8.5 m) in circumference, and produces shade that covers 17,200 square feet (1,600 m2). Its longest branch distance is 187 ft.The tree and surrounding park have been owned by the neighboring city of Charleston since 1991."
123,Bedford Oak,White oak (Quercus alba),300–500,Bedford New York,,"In 1987, this tree was officially recognized by the National Arborist Association and International Society of Arboriculture as a significant tree that was alive at the time of the signing of the United States Constitution.[25][26] Its measurements are: circumference 20.5 feet (6.2 m); height 69 feet (21 m); average spread 100 feet (30 m)."
124,Bennett Juniper,Grand juniper (Juniperus grandis),"2,000–6,000 (est.)",Stanislaus National Forest Tuolumne County,,The largest known juniper in the United States.
125,The Big Oak,Southern live oak (Quercus virginiana),,Thomasville Georgia,,One of the oldest live oak trees east of the Mississippi river.
126,The Big Tree - Goose Island,Southern live oak (Quercus virginiana),,Rockport Texas,,Located in Goose Island State Park.
127,Bogey's Tree,,,Pacific Palisades California,,"A tree on the 12th hole at Riviera Country Club, named after Humphrey Bogart."
128,Boyington Oak,Southern live oak (Quercus virginiana),186,Mobile Alabama,,"Reportedly grew from the grave of Charles Boyington in the potter's field just outside the walls of Church Street Graveyard. Boyington was tried and executed for the murder of his friend, Nathaniel Frost, on February 20, 1835. He stated that a tree would spring from his grave as proof of his innocence.[27][28]"
129,Buttonball Tree,American sycamore (Platanus occidentalis),350–400 (est.),Sunderland MA,,"Large tourist attraction of the town; the tree is believed to be the largest tree of its kind on the East Coast, or as locals put it, ""The widest tree this side of the Mississippi."" This tree's measurements are: circumference 25 feet (7.6 m); height 111 feet (34 m); average spread 140 feet (43 m)."
130,Candler Oak Tree,Oak,~300,Savannah Georgia,,A Georgia Landmark and Historic Tree. It is owned by the Savannah Law School which protects the tree with fences and security surveillance. The tree serves as the law school's logo.
131,Chandelier Tree,Coast redwood (Sequoia sempervirens),"~2,000",Leggett California,,"A coast redwood with a passage for cars cut through. It is 276-foot (84 m) high and 16-foot (4.9 m) ft. in diameter. The name ""Chandelier Tree"" comes from its unique limbs that resemble a chandelier."
132,Circus Trees,Various,,California,,A group of trees shaped into artistic forms by arborist Axel Erlandson.
133,Comfort Maple,Sugar maple (Acer saccharum),500,Pelham Ontario,,"A 24.5-metre (80 ft) tall, approximately 500-year-old sugar maple."
134,Council Oak Tree,Oak,,Hollywood Florida,,A historic oak tree on the Hollywood Seminole Indian Reservation that was added to the National Register of Historic Places in 2012.
135,Creek Council Oak Tree,White oak,,Tulsa Oklahoma,,A large oak tree marking the founding of Tulsa by the Lochapoka Clan of the Creek Nation in 1836. Listed in the National Register of Historic Places.
136,Davie Poplar,Tulip poplar (Liriodendron tulipifera),300–375,Chapel Hill North Carolina,,"A large tree on the campus of the University of North Carolina at Chapel Hill, it was named in honor of Revolutionary War general and founder of the University William Richardson Davie. Many legends are associated with the tree."
137,Devil's Tree,Oak,,Bernards Township New Jersey,,"The tree is said to be cursed. Local legend says those who damage or disrespect the tree will soon thereafter come to some sort of harm, often in the form of a car accident or major breakdown as they leave."
138,Dewey Oak,White oak (Quercus alba),250–450,Granby Connecticut,,"The Town of Granby, Connecticut uses an outline of this tree as their town seal, and Connecticut's Notable Trees uses a photo of it on their certificates. This tree was damaged in the October 2011 snow storm (Storm Alfred), but it is still alive. This tree's measurements are: circumference 20.5 ft (6.2 m) height 78 ft (24 m) average spread 129 ft (39 m)."
139,Duffie Oak,,300,Mobile Alabama,,"It is estimated to be at least 300 years old and has a circumference of 30 feet 11 inches (9.42 m), a height of 48 feet (15 m) and a spread of 126 feet (38 m). Scholars consider it to be the oldest living landmark in the city.[29][30]"
140,Emancipation Oak,Southern live oak (Quercus virginiana),,Hampton Virginia,,"On the campus of Hampton University, it is 98 feet (30 m) in diameter, with branches which extend upward as well as laterally. It is designated one of the 10 Great Trees of the World by the National Geographic Society and is part of the National Historic Landmark district of Hampton University."
141,Endicott Pear Tree,European pear (Pyrus communis),about 375,Danvers Massachusetts,,"Planted by Massachusetts Bay Colony Governor John Endecott in the 1630s or 1640s, this tree is believed to be the oldest cultivated fruit tree in North America."
142,Friendship Oak,Southern live oak (Quercus virginiana),500,Long Beach Mississippi,,"A large tree on the Gulf Park campus of the University of Southern Mississippi, 59 feet (18 m) tall with a trunk diameter of 5.75 feet (1.75 m) and circumference of 19.8 feet (6.0 m)."
143,General Grant tree,Giant sequoia (Sequoiadendron giganteum),,Kings Canyon National Park California,,"The ""Nation's Christmas Tree"" of the United States."
144,General Sherman tree,Giant sequoia (Sequoiadendron giganteum),2300–2700,Sequoia National Park California,,"The world's largest single living tree by volume, with an estimated 52,508 cu ft (1,487 m3) of wood in its trunk."
145,Goshin,Chinese juniper (Juniperus chinensis),~65,Washington D.C.,,"A bonsai forest planting of eleven junipers donated to the National Bonsai Foundation in 1984, displayed since at the United States National Arboretum."
146,Grayson Elm,American elm (Ulmus americana),200,Amherst Massachusetts,,"This impressive elm with octopus-like limbs is located near the UMass Amherst campus. Writing under the pseudonym David Grayson, Ray Stannard Baker (1870-1946) penned the book Under My Tree about this elm.[31][32] According to Digital Amherst, a project of the Jones Library (the public library of Amherst, Massachusetts), Ray Stannard Baker ""purchased the meadow [where the elm was located] in order to save the tree. About the elm he wrote, 'It is content. It does not weep with remorse over its past, nor tremble for its future. It flings its loveliness to the sky, it is content with spring; it is glorious in summer, it is patient through the long winter.'""[33] As of 2017, this tree's measurements are: circumference 17 feet (5.2 m); height 80 feet (24 m)."
147,Great Elm at Phillips Academy,American elm (Ulmus americana),200+,Andover Massachusetts,,"This American elm tree is located on the Phillips Academy campus in Andover, MA. Phillips Academy was founded in 1778 and the tree is estimated to be 200 to 300 years old.[34] Tree measurements as of November 2019: circumference of 21 feet; spread over 100 feet; height estimated at 65 feet."
148,Grizzly Giant,Giant sequoia (Sequoiadendron giganteum),,Yosemite National Park California,,One of the oldest and largest giant sequoias in Yosemite National Park
149,Hangman's Elm,English elm (Ulmus minor 'Atinia'),~310,Manhattan New York City US,,"The oldest known tree in Manhattan. Located in Washington Square Park, it stands 110 feet (33.52 m) tall and has a diameter of 56 inches (1.42 m). 40°43′55″N 73°59′55″W﻿ / ﻿40.7319444444°N 73.9986111111°W"
150,Hare Krishna Tree,American elm (Ulmus americana),,Manhattan's East Village New York City US,,The founding site of the Hare Krishna movement in the United States.
151,Harris Creek Sitka Spruce,Sitka spruce (Picea sitchensis),,Near the creek bed of Harris Creek off the Pacific Marine Road between Port Renfrew B.C. on Vancouver Island British Columbia 48°40′45″N 124°12′51″W﻿,,"At 4 metres (13 ft) in diameter,[35] it is not the largest Sitka spruce on Vancouver Island, but is easily accessible due to the paving of a former logging road,[36] and has become well-known: hikers going by on the Harris Creek Main trail are recommended by trail guide books to make a short detour to visit it. Can be reached by wheel-chair-accessible short trail from Pacific Marine Road, from small sign on right hand side of road going northeast, about 20 km north-east of Port Renfrew, or 8 km past Lizard Lake.[37] Logging in this area was permanently restricted by a 2012 vote.[35]"
152,Hyperion,Coast redwood (Sequoia sempervirens),,California US,,"At 115.5 m tall the tallest tree in the world, found in 2006."
153,I-17 Mystery Christmas Tree,One-seed juniper (Juniperus monosperma),,Yavapai County Arizona,,A tree in the median of Interstate 17 annually decorated for Christmas.
154,International World War Peace Tree,Linden tree,~100,Darmstadt Indiana,,"A tree planted by German American immigrants, it was dedicated at the end of World War I as a reminder of Germany's armistice with the United States and a sign of loyalty to America."
155,Iluvatar,Coast redwood (Sequoia sempervirens),,Prairie Creek Redwoods State Park near Orick US,,The third largest known coast redwood.
156,Jardine Juniper,Rocky Mountain juniper (Juniperus scopulorum),~1500,Logan Canyon Cache National Forest. Utah,,"Notable for its age, it was named after USAC alumnus and former US Secretary of Agriculture William Marion Jardine."
